created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2022-05-26T14:08:47+05:30,1,28,71,974,728,,,,
2022-05-26T14:09:20+05:30,2,28,71,968,724,,,,
2022-05-26T14:09:57+05:30,3,28,70,973,728,,,,
2022-05-26T14:11:40+05:30,4,27,71,967,724,,,,
2022-05-26T14:12:29+05:30,5,27,71,983,724,,,,
2022-05-26T14:13:16+05:30,6,27,70,969,726,,,,
2022-05-26T14:14:16+05:30,7,27,71,970,727,,,,
2022-05-26T14:17:42+05:30,8,27,69,971,651,,,,
2022-05-26T14:18:01+05:30,9,27,69,978,739,,,,
2022-05-26T14:18:48+05:30,10,27,69,972,738,,,,
2022-05-26T14:20:52+05:30,11,27,69,973,736,,,,
2022-05-26T14:21:11+05:30,12,27,70,970,734,,,,
2022-05-26T14:27:05+05:30,13,27,70,977,739,,,,
2022-05-26T14:30:13+05:30,14,27,69,973,736,,,,
2022-05-26T14:30:30+05:30,15,27,69,969,735,,,,
2022-05-26T14:31:54+05:30,16,27,69,982,737,,,,
2022-05-26T14:36:55+05:30,17,27,69,972,728,,,,
2022-05-26T14:37:38+05:30,18,27,69,976,730,,,,
2022-05-26T14:38:26+05:30,19,27,69,978,725,,,,
2022-05-26T14:38:45+05:30,20,27,69,969,724,,,,
2022-05-26T14:42:08+05:30,21,27,69,972,727,,,,
2022-05-26T14:43:29+05:30,22,27,69,974,728,,,,
2022-05-26T14:45:12+05:30,23,27,69,972,726,,,,
2022-05-26T14:45:51+05:30,24,27,69,983,725,,,,
2022-05-26T14:51:43+05:30,25,27,69,970,725,,,,
2022-05-26T14:52:32+05:30,26,27,69,971,722,,,,
2022-05-26T14:53:24+05:30,27,27,69,969,726,,,,
2022-05-26T14:56:05+05:30,28,27,69,967,726,,,,
2022-05-26T14:58:10+05:30,29,27,69,966,724,,,,
2022-05-26T14:58:52+05:30,30,27,69,980,741,,,,
2022-05-26T14:59:11+05:30,31,27,69,977,724,,,,
2022-05-26T15:00:27+05:30,32,27,69,983,741,,,,
2022-05-26T15:00:46+05:30,33,27,69,968,723,,,,
2022-05-26T15:01:05+05:30,34,27,69,967,724,,,,
2022-05-26T15:01:29+05:30,35,27,69,967,723,,,,
2022-05-26T15:03:09+05:30,36,27,69,967,720,,,,
2022-05-26T15:05:46+05:30,37,27,69,966,730,,,,
2022-05-26T15:08:07+05:30,38,27,69,970,734,,,,
2022-05-26T15:11:01+05:30,39,27,68,970,735,,,,
2022-05-26T15:11:54+05:30,40,27,68,983,747,,,,
2022-05-26T15:13:15+05:30,41,27,68,970,734,,,,
2022-05-26T15:14:35+05:30,42,27,68,967,733,,,,
2022-05-26T15:14:54+05:30,43,27,68,968,732,,,,
2022-05-26T15:15:15+05:30,44,27,68,983,749,,,,
2022-05-26T15:18:20+05:30,45,27,68,969,734,,,,
2022-05-26T15:20:44+05:30,46,27,68,969,732,,,,
2022-05-26T15:21:45+05:30,47,27,68,967,732,,,,
2022-05-26T15:24:06+05:30,48,27,68,971,734,,,,
2022-05-26T15:24:35+05:30,49,27,68,969,733,,,,
2022-05-26T15:28:10+05:30,50,27,68,983,749,,,,
2022-05-26T15:28:44+05:30,51,27,68,981,731,,,,
2022-05-26T15:29:45+05:30,52,27,68,963,728,,,,
2022-05-26T15:32:13+05:30,53,27,68,969,729,,,,
2022-05-26T15:41:02+05:30,54,27,69,970,734,,,,
2022-05-26T15:45:10+05:30,55,27,68,971,735,,,,
2022-05-26T15:47:01+05:30,56,27,68,983,734,,,,
2022-05-26T15:48:50+05:30,57,27,68,970,733,,,,
2022-05-26T15:58:26+05:30,58,27,68,970,730,,,,
2022-05-26T15:58:59+05:30,59,27,68,972,735,,,,
2022-05-26T16:02:55+05:30,60,27,67,969,734,,,,
2022-05-26T16:03:55+05:30,61,27,67,970,734,,,,
2022-05-26T16:05:38+05:30,62,27,67,969,733,,,,
2022-05-26T16:06:25+05:30,63,27,67,983,747,,,,
2022-05-26T16:06:58+05:30,64,27,67,972,735,,,,
2022-05-26T16:07:44+05:30,65,27,67,971,727,,,,
2022-05-26T16:09:34+05:30,66,27,67,972,735,,,,
2022-05-26T16:10:55+05:30,67,27,67,983,747,,,,
2022-05-26T16:15:47+05:30,68,27,67,966,731,,,,
2022-05-26T16:16:30+05:30,69,27,67,967,731,,,,
2022-05-26T16:17:18+05:30,70,27,67,967,728,,,,
2022-05-26T16:21:05+05:30,71,27,67,983,749,,,,
2022-05-26T16:21:39+05:30,72,27,67,966,731,,,,
2022-05-26T16:22:25+05:30,73,27,67,983,745,,,,
2022-05-26T16:22:44+05:30,74,27,67,983,734,,,,
2022-05-26T16:23:17+05:30,75,27,67,967,728,,,,
2022-05-26T16:24:27+05:30,76,27,68,982,732,,,,
2022-05-26T16:24:55+05:30,77,27,68,982,731,,,,
2022-05-26T16:26:25+05:30,78,27,68,965,730,,,,
2022-05-26T16:27:32+05:30,79,27,68,965,731,,,,
2022-05-26T16:29:52+05:30,80,27,68,967,731,,,,
2022-05-26T16:32:44+05:30,81,27,69,968,732,,,,
2022-05-26T16:34:56+05:30,82,27,69,981,732,,,,
2022-05-26T16:35:34+05:30,83,27,69,980,729,,,,
2022-05-26T16:37:32+05:30,84,27,69,960,726,,,,
2022-05-26T16:37:50+05:30,85,27,69,961,727,,,,
2022-05-26T16:39:30+05:30,86,27,69,940,723,,,,
2022-05-26T16:40:30+05:30,87,27,69,959,729,,,,
2022-05-26T16:41:22+05:30,88,27,69,959,728,,,,
2022-05-26T16:41:54+05:30,89,27,69,983,748,,,,
2022-05-26T16:44:24+05:30,90,27,69,970,734,,,,
2022-05-26T16:45:45+05:30,91,27,69,971,734,,,,
2022-05-26T16:48:01+05:30,92,27,68,986,733,,,,
2022-05-26T16:49:03+05:30,93,27,68,969,733,,,,
2022-05-26T16:50:23+05:30,94,27,68,969,732,,,,
2022-05-26T16:51:25+05:30,95,27,68,968,733,,,,
2022-05-26T16:54:05+05:30,96,27,68,966,732,,,,
2022-05-26T16:56:03+05:30,97,27,67,968,733,,,,
2022-05-26T17:00:16+05:30,98,27,67,969,724,,,,
2022-05-26T17:00:35+05:30,99,27,67,968,725,,,,
2022-05-26T17:06:06+05:30,100,27,66,985,743,,,,
2022-05-26T17:06:39+05:30,101,27,66,976,724,,,,
2022-05-26T17:08:36+05:30,102,27,66,976,730,,,,
2022-05-26T17:08:54+05:30,103,27,66,977,730,,,,
2022-05-27T17:43:47+05:30,104,27,60,972,734,,,,
2022-05-27T17:46:13+05:30,105,27,60,880,727,,,,
2022-05-27T17:46:33+05:30,106,27,60,833,726,,,,
2022-05-27T17:47:20+05:30,107,27,60,963,726,,,,
2022-05-27T17:49:36+05:30,108,27,59,961,726,,,,
2022-05-27T17:50:00+05:30,109,27,59,962,725,,,,
2022-05-27T17:50:19+05:30,110,27,59,962,723,,,,
2022-05-27T17:51:06+05:30,111,27,59,963,722,,,,
2022-05-27T17:52:02+05:30,112,27,59,972,721,,,,
2022-05-27T17:53:45+05:30,113,27,59,959,720,,,,
2022-05-27T17:59:28+05:30,114,27,59,966,725,,,,
2022-05-27T18:00:44+05:30,115,27,59,961,722,,,,
2022-05-27T18:01:03+05:30,116,27,59,960,721,,,,
2022-05-27T18:02:32+05:30,117,27,59,962,723,,,,
2022-05-27T18:03:47+05:30,118,27,59,960,721,,,,
2022-05-27T18:04:33+05:30,119,27,59,960,720,,,,
2022-05-27T18:08:43+05:30,120,27,58,963,721,,,,
2022-05-27T18:10:12+05:30,121,27,58,962,723,,,,
2022-05-27T18:10:44+05:30,122,27,58,975,721,,,,
2022-05-27T18:12:10+05:30,123,27,58,963,722,,,,
2022-05-27T18:13:12+05:30,124,27,58,961,721,,,,
2022-05-27T18:15:22+05:30,125,27,58,961,722,,,,
2022-05-27T18:15:55+05:30,126,27,58,962,722,,,,
2022-05-27T18:16:42+05:30,127,27,58,975,735,,,,
2022-05-27T18:18:20+05:30,128,27,58,975,723,,,,
2022-05-27T18:18:59+05:30,129,27,58,960,720,,,,
2022-05-27T18:20:14+05:30,130,27,59,961,723,,,,
2022-05-27T18:21:57+05:30,131,27,59,958,720,,,,
2022-05-27T18:22:27+05:30,132,27,59,960,718,,,,
2022-05-27T18:22:46+05:30,133,27,59,960,721,,,,
2022-05-27T18:24:43+05:30,134,27,59,961,721,,,,
2022-05-27T18:26:32+05:30,135,27,59,956,718,,,,
2022-05-27T18:26:54+05:30,136,27,59,960,720,,,,
2022-05-27T18:29:48+05:30,137,27,59,959,720,,,,
2022-05-27T18:31:03+05:30,138,27,59,958,717,,,,
2022-05-27T18:32:04+05:30,139,27,59,957,718,,,,
2022-05-27T18:33:06+05:30,140,27,59,957,719,,,,
2022-05-27T18:35:51+05:30,141,27,59,951,712,,,,
2022-05-27T18:37:20+05:30,142,27,59,924,703,,,,
2022-05-27T18:38:07+05:30,143,27,59,944,708,,,,
2022-05-27T18:40:22+05:30,144,27,59,945,709,,,,
2022-05-27T18:43:15+05:30,145,27,59,949,712,,,,
2022-05-27T18:43:30+05:30,146,27,59,969,714,,,,
2022-05-27T18:44:29+05:30,147,27,59,941,704,,,,
2022-05-27T18:45:07+05:30,148,27,59,944,706,,,,
2022-05-27T18:48:24+05:30,149,27,59,964,723,,,,
2022-05-27T18:48:43+05:30,150,27,59,964,722,,,,
2022-05-27T18:49:55+05:30,151,27,59,972,714,,,,
2022-05-27T18:50:42+05:30,152,27,59,975,734,,,,
2022-05-27T18:53:07+05:30,153,27,59,966,726,,,,
2022-05-27T18:53:35+05:30,154,27,59,976,737,,,,
2022-05-27T18:53:55+05:30,155,27,59,976,737,,,,
2022-05-27T18:54:56+05:30,156,27,59,964,723,,,,
2022-05-27T18:57:06+05:30,157,27,59,963,724,,,,
2022-05-27T18:57:37+05:30,158,27,59,964,724,,,,
2022-05-27T18:59:41+05:30,159,27,59,964,722,,,,
2022-05-27T19:00:26+05:30,160,27,59,958,718,,,,
2022-05-27T19:03:28+05:30,161,27,59,956,717,,,,
2022-05-27T19:06:11+05:30,162,27,60,960,721,,,,
2022-05-27T19:11:21+05:30,163,27,60,963,723,,,,
2022-05-27T19:11:41+05:30,164,27,61,970,735,,,,
2022-05-27T19:12:42+05:30,165,27,61,963,721,,,,
2022-05-27T19:12:57+05:30,166,27,61,962,723,,,,
2022-05-27T19:15:56+05:30,167,27,60,963,722,,,,
2022-05-27T19:17:31+05:30,168,27,60,976,737,,,,
2022-05-27T19:17:55+05:30,169,27,60,951,716,,,,
2022-05-27T19:19:52+05:30,170,27,61,950,717,,,,
2022-05-27T19:21:08+05:30,171,27,61,898,671,,,,
2022-05-27T19:21:26+05:30,172,27,61,901,725,,,,
2022-05-27T19:23:04+05:30,173,27,62,963,721,,,,
2022-05-27T19:23:52+05:30,174,27,62,973,715,,,,
2022-05-27T19:24:38+05:30,175,27,61,957,718,,,,
2022-05-27T19:27:17+05:30,176,27,61,963,723,,,,
2022-05-27T19:28:13+05:30,177,27,62,961,721,,,,
2022-05-27T19:31:47+05:30,178,27,62,976,736,,,,
2022-05-27T19:36:19+05:30,179,27,63,963,721,,,,
2022-05-27T19:39:09+05:30,180,27,63,961,722,,,,
2022-05-27T19:40:53+05:30,181,27,63,962,720,,,,
2022-05-27T19:41:12+05:30,182,27,63,976,735,,,,
2022-05-27T19:42:27+05:30,183,27,63,905,715,,,,
2022-05-27T19:42:47+05:30,184,27,63,969,679,,,,
2022-05-27T19:44:01+05:30,185,27,63,957,720,,,,
2022-05-27T19:46:27+05:30,186,27,63,962,722,,,,
2022-05-27T19:46:45+05:30,187,27,63,975,720,,,,
2022-05-27T19:47:46+05:30,188,27,63,961,719,,,,
2022-05-27T19:48:30+05:30,189,27,63,973,718,,,,
2022-05-27T19:50:32+05:30,190,27,62,958,718,,,,
2022-05-27T19:50:57+05:30,191,27,62,975,736,,,,
2022-05-27T19:53:08+05:30,192,27,62,958,720,,,,
2022-05-27T19:53:26+05:30,193,27,62,956,717,,,,
2022-05-27T19:54:27+05:30,194,27,62,974,735,,,,
2022-05-27T19:55:27+05:30,195,27,62,955,735,,,,
2022-05-27T19:56:00+05:30,196,27,62,955,716,,,,
2022-05-27T19:56:18+05:30,197,27,63,974,735,,,,
2022-05-27T19:58:57+05:30,198,27,62,973,715,,,,
2022-05-27T20:00:54+05:30,199,27,63,954,715,,,,
2022-05-27T20:01:28+05:30,200,27,62,975,735,,,,
2022-05-27T20:02:01+05:30,201,27,62,975,720,,,,
2022-05-27T20:03:27+05:30,202,27,61,949,713,,,,
2022-05-27T20:04:48+05:30,203,27,62,965,735,,,,
2022-05-27T20:07:26+05:30,204,27,63,967,725,,,,
2022-05-27T20:08:04+05:30,205,27,63,967,724,,,,
2022-05-27T20:08:38+05:30,206,27,62,976,736,,,,
2022-05-27T20:09:02+05:30,207,27,62,965,724,,,,
2022-05-27T20:10:00+05:30,208,27,62,966,723,,,,
2022-05-27T20:11:29+05:30,209,27,62,965,723,,,,
2022-05-27T20:12:07+05:30,210,27,63,964,722,,,,
2022-05-27T20:13:21+05:30,211,27,63,975,724,,,,
2022-05-27T20:14:24+05:30,212,27,62,966,723,,,,
2022-05-27T20:14:56+05:30,213,27,63,960,721,,,,
2022-05-27T20:16:35+05:30,214,27,63,962,722,,,,
2022-05-27T20:17:16+05:30,215,27,63,962,721,,,,
2022-05-27T20:20:23+05:30,216,27,64,956,718,,,,
2022-05-27T20:20:57+05:30,217,27,64,960,720,,,,
2022-05-27T20:21:53+05:30,218,27,64,950,713,,,,
2022-05-27T20:27:59+05:30,219,27,64,964,723,,,,
2022-05-27T20:29:24+05:30,220,27,64,965,723,,,,
2022-05-27T20:33:32+05:30,221,27,64,951,716,,,,
2022-05-27T20:35:03+05:30,222,27,64,965,723,,,,
2022-05-27T20:36:10+05:30,223,27,64,976,734,,,,
2022-05-27T20:36:56+05:30,224,27,64,976,736,,,,
2022-05-27T20:37:28+05:30,225,27,64,966,724,,,,
2022-05-27T20:38:01+05:30,226,27,65,965,723,,,,
2022-05-27T20:38:35+05:30,227,27,65,962,722,,,,
2022-05-27T20:39:00+05:30,228,27,64,976,715,,,,
2022-05-27T20:39:38+05:30,229,27,64,959,722,,,,
2022-05-27T20:40:59+05:30,230,27,64,923,724,,,,
2022-05-27T20:42:00+05:30,231,27,64,977,737,,,,
2022-05-27T20:42:19+05:30,232,27,64,977,737,,,,
2022-05-27T20:43:07+05:30,233,27,64,967,725,,,,
2022-05-27T20:43:22+05:30,234,27,64,967,725,,,,
2022-05-27T20:44:09+05:30,235,27,64,967,725,,,,
2022-05-27T20:45:02+05:30,236,27,64,968,725,,,,
2022-05-27T20:45:50+05:30,237,27,64,968,724,,,,
2022-05-27T20:49:12+05:30,238,27,64,963,722,,,,
2022-05-27T20:50:16+05:30,239,27,64,958,718,,,,
2022-05-27T20:51:31+05:30,240,27,64,962,721,,,,
2022-05-27T20:53:00+05:30,241,27,64,962,722,,,,
2022-05-27T20:55:11+05:30,242,27,64,965,723,,,,
2022-05-27T20:57:49+05:30,243,27,64,976,736,,,,
2022-05-27T20:58:51+05:30,244,27,65,962,687,,,,
2022-05-27T21:04:32+05:30,245,27,65,975,692,,,,
2022-05-27T21:04:51+05:30,246,27,65,911,723,,,,
2022-05-27T21:05:29+05:30,247,27,64,963,721,,,,
2022-05-27T21:05:49+05:30,248,27,64,962,721,,,,
2022-05-27T21:06:08+05:30,249,27,64,961,719,,,,
2022-05-27T21:07:28+05:30,250,27,64,961,720,,,,
2022-05-27T21:11:11+05:30,251,27,64,962,722,,,,
2022-05-27T21:12:24+05:30,252,27,64,963,725,,,,
2022-05-27T21:14:10+05:30,253,27,64,962,721,,,,
2022-05-27T21:14:29+05:30,254,27,64,964,721,,,,
2022-05-27T21:18:41+05:30,255,27,65,952,716,,,,
2022-05-27T21:21:06+05:30,256,27,65,960,719,,,,
2022-05-27T21:21:31+05:30,257,27,65,959,719,,,,
2022-05-27T21:22:05+05:30,258,27,65,912,718,,,,
2022-05-27T21:22:52+05:30,259,27,65,960,718,,,,
2022-05-27T21:25:05+05:30,260,27,65,960,719,,,,
2022-05-27T21:25:39+05:30,261,27,65,959,719,,,,
2022-05-27T21:27:05+05:30,262,27,65,959,720,,,,
2022-05-27T21:28:19+05:30,263,27,65,962,718,,,,
2022-05-27T21:30:55+05:30,264,27,66,960,722,,,,
2022-05-27T21:31:14+05:30,265,27,66,962,722,,,,
2022-05-27T21:32:24+05:30,266,27,66,962,720,,,,
2022-05-27T21:34:49+05:30,267,27,66,964,721,,,,
2022-05-27T21:35:09+05:30,268,27,66,962,721,,,,
2022-05-27T21:37:21+05:30,269,27,66,963,716,,,,
2022-05-27T21:38:09+05:30,270,27,66,962,722,,,,
2022-05-27T21:38:33+05:30,271,27,66,960,720,,,,
2022-05-27T21:39:21+05:30,272,27,66,963,722,,,,
2022-05-27T21:40:09+05:30,273,27,66,961,720,,,,
2022-05-27T21:43:56+05:30,274,27,67,968,725,,,,
2022-05-27T21:44:27+05:30,275,27,67,967,724,,,,
2022-05-27T21:48:09+05:30,276,27,68,967,724,,,,
2022-05-27T21:49:10+05:30,277,27,68,964,723,,,,
2022-05-27T21:51:22+05:30,278,27,68,963,722,,,,
2022-05-27T21:53:47+05:30,279,27,68,963,722,,,,
2022-05-27T21:54:20+05:30,280,27,68,965,723,,,,
2022-05-27T21:54:53+05:30,281,27,68,964,722,,,,
2022-05-27T21:56:49+05:30,282,27,68,965,722,,,,
2022-05-27T21:57:23+05:30,283,27,68,961,719,,,,
2022-05-27T21:58:10+05:30,284,27,68,964,722,,,,
2022-05-27T21:59:10+05:30,285,27,68,965,723,,,,
2022-05-27T21:59:57+05:30,286,27,68,960,674,,,,
2022-05-27T22:00:33+05:30,287,27,68,965,723,,,,
2022-05-27T22:01:04+05:30,288,27,68,965,723,,,,
2022-05-27T22:03:13+05:30,289,27,68,959,720,,,,
2022-05-27T22:04:22+05:30,290,27,68,959,719,,,,
2022-05-27T22:05:09+05:30,291,27,68,959,718,,,,
2022-05-27T22:05:41+05:30,292,27,68,957,720,,,,
2022-05-27T22:06:29+05:30,293,27,68,961,721,,,,
2022-05-27T22:07:01+05:30,294,27,68,960,717,,,,
2022-05-27T22:09:15+05:30,295,27,68,959,720,,,,
2022-05-27T22:10:41+05:30,296,27,68,964,722,,,,
2022-05-27T22:12:25+05:30,297,27,68,968,725,,,,
2022-05-27T22:13:26+05:30,298,27,67,965,723,,,,
2022-05-27T22:15:43+05:30,299,27,67,967,725,,,,
2022-05-27T22:16:02+05:30,300,27,67,966,724,,,,
2022-05-27T22:17:31+05:30,301,27,67,960,689,,,,
2022-05-27T22:18:32+05:30,302,27,67,967,725,,,,
2022-05-27T22:20:42+05:30,303,27,67,920,688,,,,
2022-05-27T22:22:53+05:30,304,27,68,920,690,,,,
2022-05-27T22:24:24+05:30,305,27,68,925,695,,,,
2022-05-27T22:24:48+05:30,306,27,68,923,693,,,,
2022-05-27T22:25:20+05:30,307,27,68,920,693,,,,
2022-05-27T22:26:54+05:30,308,27,68,909,681,,,,
2022-05-27T22:29:33+05:30,309,27,68,926,680,,,,
2022-05-27T22:32:05+05:30,310,27,69,913,692,,,,
2022-05-27T22:32:24+05:30,311,27,69,961,683,,,,
2022-05-27T22:32:43+05:30,312,27,69,927,690,,,,
2022-05-27T22:33:44+05:30,313,27,69,958,702,,,,
2022-05-28T09:03:29+05:30,314,25,72,971,729,,,,
2022-05-28T09:05:24+05:30,315,25,72,980,728,,,,
2022-05-28T09:05:57+05:30,316,25,72,969,728,,,,
2022-05-28T09:07:48+05:30,317,26,72,969,726,,,,
2022-05-28T09:09:04+05:30,318,26,72,971,730,,,,
2022-05-28T09:10:17+05:30,319,26,72,969,730,,,,
2022-05-28T09:10:35+05:30,320,26,72,970,730,,,,
2022-05-28T09:11:06+05:30,321,26,72,971,730,,,,
2022-05-28T09:15:35+05:30,322,26,72,971,730,,,,
2022-05-28T09:16:09+05:30,323,26,72,971,730,,,,
2022-05-28T09:17:06+05:30,324,26,72,972,730,,,,
2022-05-28T09:18:55+05:30,325,26,72,979,731,,,,
2022-05-28T09:20:44+05:30,326,26,72,971,731,,,,
2022-05-28T09:21:17+05:30,327,26,72,971,730,,,,
2022-05-28T09:21:49+05:30,328,26,72,978,728,,,,
2022-05-28T09:22:09+05:30,329,26,72,971,731,,,,
2022-05-28T09:24:47+05:30,330,26,73,971,736,,,,
2022-05-28T09:26:32+05:30,331,26,72,975,732,,,,
2022-05-28T09:27:05+05:30,332,26,72,979,732,,,,
2022-05-28T09:28:08+05:30,333,25,72,973,732,,,,
2022-05-28T09:28:54+05:30,334,25,72,980,742,,,,
2022-05-28T09:29:15+05:30,335,26,72,973,733,,,,
2022-05-28T09:30:05+05:30,336,26,72,972,732,,,,
2022-05-28T09:38:08+05:30,337,26,72,968,727,,,,
2022-05-28T09:43:49+05:30,338,26,72,967,731,,,,
2022-05-28T09:46:05+05:30,339,26,72,967,727,,,,
2022-05-28T09:46:40+05:30,340,26,72,968,729,,,,
2022-05-28T09:48:42+05:30,341,26,72,968,728,,,,
2022-05-28T09:49:46+05:30,342,26,72,964,727,,,,
2022-05-28T09:50:05+05:30,343,26,72,979,740,,,,
2022-05-28T09:51:47+05:30,344,26,72,968,738,,,,
2022-05-28T09:54:04+05:30,345,26,72,968,729,,,,
2022-05-28T09:56:56+05:30,346,26,71,968,731,,,,
2022-05-28T09:58:10+05:30,347,26,71,972,729,,,,
2022-05-28T09:58:42+05:30,348,26,71,969,731,,,,
2022-05-28T09:59:18+05:30,349,26,71,971,731,,,,
2022-05-28T10:00:20+05:30,350,26,71,972,729,,,,
2022-05-28T10:01:04+05:30,351,26,71,971,731,,,,
2022-05-28T10:02:41+05:30,352,26,71,970,730,,,,
2022-05-28T10:03:27+05:30,353,26,71,970,730,,,,
2022-05-28T10:04:31+05:30,354,26,71,973,731,,,,
2022-05-28T10:07:14+05:30,355,26,71,973,732,,,,
2022-05-28T10:09:04+05:30,356,26,71,973,732,,,,
2022-05-28T10:09:46+05:30,357,26,71,972,731,,,,
2022-05-28T10:10:08+05:30,358,26,71,972,731,,,,
2022-05-28T10:12:13+05:30,359,26,71,978,730,,,,
